date,season,hometeam,awayteam,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,correct?
20001029,2000,8,7,1287.936,1326.336,0.538205857,0.461794143,-20.21215753,15.96658997,-75.37945899,-18.22033484,0.469405317,0.530594683,1
20001030,2000,32,31,1605.25,1669.12,0.501626195,0.498373805,126.1391451,134.0107451,13.02815707,8.054475842,0.57729532,0.42270468,0
20001105,2000,31,27,1688.653,1530.841,0.782893554,0.217106446,136.950386,54.62682367,9.1215725,-1.715533212,0.779011546,0.220988454,1
20001105,2000,11,19,1522.009,1591.339,0.493768952,0.506231048,37.17377935,59.3862254,14.09745336,4.375998259,0.501483673,0.498516327,0
20001105,2000,28,17,1414.02,1366.51,0.65648287,0.34351713,29.92546517,71.20748301,-9.6586922,58.3785153,0.586222534,0.413777466,1
20001105,2000,7,3,1351.425,1511.854,0.36601906,0.63398094,-1.504691478,54.83576688,-26.04495882,5.659451341,0.314013254,0.685986746,1
20001105,2000,26,9,1489.219,1439.553,0.659276238,0.340723762,94.96369205,159.5525818,13.9676144,78.84877736,0.563367228,0.436632772,1
20001105,2000,1,32,1318.552,1585.718,0.237984556,0.762015444,67.50527797,106.7960572,11.81427353,-0.135789478,0.212706913,0.787293087,0
20001105,2000,21,4,1474.167,1561.694,0.467626394,0.532373606,55.61678615,125.7824557,3.976459895,22.48197953,0.498612395,0.501387605,1
20001105,2000,2,30,1399.901,1584.967,0.333776086,0.666223914,55.94030891,88.918857,-11.29741605,15.32951964,0.301382929,0.698617071,1
20001105,2000,25,16,1600.549,1579.837,0.620906571,0.379093429,134.3392433,131.8617439,12.68206729,18.75719499,0.634754839,0.365245161,1
20001105,2000,24,10,1602.542,1525.018,0.694328479,0.305671521,142.5893455,170.5721346,2.342524596,36.16863939,0.563940229,0.436059771,0
20001105,2000,8,23,1262.848,1538.139,0.229606879,0.770393121,-19.19423348,77.92143136,-71.10152402,-4.150997581,0.183780052,0.816219948,1
20001105,2000,22,29,1455.32,1369.26,0.704656478,0.295343522,83.3224326,206.3534625,4.993703867,35.06542572,0.697812159,0.302187841,1
20001105,2000,18,5,1653.843,1461.107,0.815122909,0.184877091,80.57002268,91.22261619,-84.42652847,-18.40974959,0.724478909,0.275521091,0
20001105,2000,6,14,1341.341,1621.058,0.225131195,0.774868805,77.37597362,196.8494069,-0.752016735,24.60782542,0.233175456,0.766824544,0
20001106,2000,12,20,1494.03,1639.141,0.386711628,0.613288372,104.3197273,150.1488927,1.085265122,16.11695415,0.405333456,0.594666544,0
20001112,2000,8,21,1249.892,1461.333,0.300907079,0.699092921,-19.17233492,48.4992725,-67.53549854,0.218880072,0.275222468,0.724777532,0
20001112,2000,9,7,1430.574,1330.064,0.72166832,0.27833168,47.71583869,0.952725586,-28.3309833,-23.51400235,0.698204341,0.301795659,1
20001112,2000,11,2,1494.683,1383.196,0.73418117,0.26581883,32.14950372,54.60443181,10.88044287,-2.772810561,0.708989971,0.291010029,1
20001112,2000,17,19,1359.329,1618.666,0.24625367,0.75374633,-0.4022998,65.35792926,-19.57223055,7.143050275,0.200487638,0.799512362,1
20001112,2000,23,18,1551.095,1628.244,0.482523306,0.517476694,91.34770872,101.0242055,2.769690977,-69.97811065,0.595902409,0.404097591,0
20001112,2000,31,3,1692.984,1533.214,0.784803217,0.215196783,143.5797002,75.10255836,11.98015096,15.50987451,0.754429564,0.245570436,0
20001112,2000,29,16,1353.6,1558.35,0.309071081,0.690928919,202.828192,152.9757733,31.54951919,28.37634992,0.313663347,0.686336653,0
20001112,2000,20,1,1614.371,1330.185,0.881850961,0.118149039,136.1501182,64.77852474,8.311719232,9.86018324,0.83907597,0.16092403,1
20001112,2000,30,12,1601.672,1518.8,0.700822931,0.299177069,87.8074751,101.6705541,14.0073527,-0.29358473,0.732341992,0.267658008,1
